Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Pablo Picasso",spouse,"Olga Khokhlova",8.149959250203749E-5,4.0749796251018746E-5,1.7509354372573548E-6,3.924816220480476E-5
"Pablo Picasso",spouse,"Jacqueline Roque",8.149959250203749E-5,4.0749796251018746E-5,1.7509354372573548E-6,2.2427521259888434E-5
"Ahmed Benyahia",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,8.00427628460505E-6,0.002743675595238095
"Marcel Mouly",training,"Pablo Picasso",6.235709831635835E-4,6.055430740169877E-5,1.60085525692101E-5,2.0785699438786114E-4
"Dick Bruna",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,1.760940782613111E-4,0.002743675595238095
"Kurt Oscar Weber",influencedBy,"Pablo Picasso",1.8601190476190475E-4,6.055430740169877E-5,1.3507216230271022E-5,0.002743675595238095
"Roger Ing",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,1.7509354372573547E-5,0.002743675595238095
"Byron Galvez",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,1.6508819836997916E-5,0.002743675595238095
"Rodolfo Nieto",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,2.2011759782663887E-5,0.002743675595238095
"Gary Komarin",influencedBy,"Pablo Picasso",3.255208333333333E-4,6.055430740169877E-5,1.2506681694695391E-5,0.002743675595238095
"Picasso",wikiPageRedirects,"Pablo Picasso",1.6734289932283022E-7,6.055430740169877E-5,1.0005345355756313E-6,4.8529440803620765E-6
"Antonia Gerstacker",influencedBy,"Pablo Picasso",3.255208333333333E-4,6.055430740169877E-5,2.6013897924966413E-5,0.002743675595238095
"Aung Soe",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,1.6508819836997916E-5,0.002743675595238095
"Dorothy Annan",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,1.9010156175936996E-5,0.002743675595238095
"David Smith (sculptor)",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,1.0805772984216817E-4,0.002743675595238095
"John D. Graham",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,8.404490098835303E-5,0.002743675595238095
"Stanley William Hayter",influenced,"Pablo Picasso",0.0010328638497652581,6.055430740169877E-5,1.6458793110219134E-4,4.6948356807511736E-4
"César Baldaccini",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.4857937853298125E-4,0.002743675595238095
"Aung Khin",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.4507750765846654E-5,0.002743675595238095
"Ilene Meyer",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,8.504543552392866E-6,0.002743675595238095
"Alexandra Nechita",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,6.303367574126477E-5,0.002743675595238095
"Piet Mondrian",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,3.9621167608795E-4,0.002743675595238095
"Maurice Cloud",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,8.00427628460505E-6,0.002743675595238095
"Joan Miró",influencedBy,"Pablo Picasso",1.8601190476190475E-4,6.055430740169877E-5,2.82150739032328E-4,0.002743675595238095
"Jean Auguste Dominique Ingres",influenced,"Pablo Picasso",3.755868544600939E-4,6.055430740169877E-5,2.82150739032328E-4,4.6948356807511736E-4
"Roberto Cueva del Río",influencedBy,"Pablo Picasso",1.8601190476190475E-4,6.055430740169877E-5,2.9015501531693307E-5,0.002743675595238095
"James Kelsey (sculptor)",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.7509354372573547E-5,0.002743675595238095
"Norman Ollestad",influencedBy,"Pablo Picasso",0.0010695684523809525,6.055430740169877E-5,5.7030468527810984E-5,0.002743675595238095
"Gertrude Stein",influencedBy,"Pablo Picasso",1.8601190476190475E-4,6.055430740169877E-5,4.742533698628492E-4,0.002743675595238095
"Claudio Bravo (painter)",influencedBy,"Pablo Picasso",4.650297619047619E-4,6.055430740169877E-5,1.7409300919015984E-4,0.002743675595238095
"Ellsworth Kelly",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,2.2512027050451705E-4,0.002743675595238095
"Alejandro Obregón",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,5.252806311772064E-5,0.002743675595238095
"Paul Cézanne",influenced,"Pablo Picasso",4.6948356807511736E-4,6.055430740169877E-5,3.421828111668659E-4,4.6948356807511736E-4
"Christo Coetzee",influencedBy,"Pablo Picasso",3.255208333333333E-4,6.055430740169877E-5,1.8509888908149177E-5,0.002743675595238095
"Jackson Pollock",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,4.1422129772831134E-4,0.002743675595238095
"Noel Rockmore",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,3.251737240620802E-5,0.002743675595238095
"Charles Sheeler",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,4.0421595237255504E-4,0.002743675595238095
"Louise Nevelson",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,1.8009621640361362E-4,0.002743675595238095
"Georges Braque",influencedBy,"Pablo Picasso",3.255208333333333E-4,6.055430740169877E-5,2.7014432460542045E-4,0.002743675595238095
"Max Shertz",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.1005879891331944E-5,0.002743675595238095
"Karel Appel",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,2.581379101785129E-4,0.002743675595238095
"Jules Halfant",influencedBy,"Pablo Picasso",1.8601190476190475E-4,6.055430740169877E-5,1.0005345355756313E-5,0.002743675595238095
"Roland Penrose",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,7.704115923932361E-5,0.002743675595238095
"Soraida Martinez",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,9.505078087968498E-6,0.002743675595238095
"Mario Prassinos",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,1.3257082596377113E-4,0.002743675595238095
"Sarah Stein",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.1005879891331944E-5,0.002743675595238095
"Ronnie Landfield",influencedBy,"Pablo Picasso",3.255208333333333E-4,6.055430740169877E-5,2.7014432460542043E-5,0.002743675595238095
"Merton Simpson",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,1.2006414426907576E-5,0.002743675595238095
"Joan Glass",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,9.004810820180681E-6,0.002743675595238095
"Clifton Pugh",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,2.9015501531693307E-5,0.002743675595238095
"Jan Matulka",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,1.951042344372481E-5,0.002743675595238095
"Wilhelmina Weber Furlong",influencedBy,"Pablo Picasso",2.7901785714285713E-4,6.055430740169877E-5,3.7019777816298355E-5,0.002743675595238095
"Olga Khokhlova",spouse,"Pablo Picasso",4.0749796251018746E-5,6.055430740169877E-5,9.104864273738244E-5,4.0749796251018746E-5
"Monique Mayère",influencedBy,"Pablo Picasso",4.650297619047619E-4,6.055430740169877E-5,1.5508285301422286E-5,0.002743675595238095
"Paul Gauguin",influenced,"Pablo Picasso",2.8169014084507044E-4,6.055430740169877E-5,2.581379101785129E-4,4.6948356807511736E-4
"Dora Maar",knownFor,"Pablo Picasso",7.174887892376682E-5,6.055430740169877E-5,1.3207055869598333E-4,3.587443946188341E-5
"Alfred Jarry",influenced,"Pablo Picasso",7.511737089201878E-4,6.055430740169877E-5,2.4763229755496875E-4,4.6948356807511736E-4
"Paloma Picasso",parent,"Pablo Picasso",8.763473841030585E-5,6.055430740169877E-5,9.505078087968498E-5,4.3817369205152925E-5
"Helmut Kolle",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,3.251737240620802E-5,0.002743675595238095
"Bunny Matthews",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.0505612623544128E-5,0.002743675595238095
"Jazzamoart",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,9.004810820180681E-6,0.002743675595238095
"Federico Castellón",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,3.301763967399583E-5,0.002743675595238095
"José de Almada Negreiros",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,1.2306574787580266E-4,0.002743675595238095
"Ben Shahn",influencedBy,"Pablo Picasso",3.720238095238095E-4,6.055430740169877E-5,3.161689132418995E-4,0.002743675595238095
"Wifredo Lam",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,1.2006414426907575E-4,0.002743675595238095
"Gillian Wearing",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,1.1005879891331944E-5,0.002743675595238095
"Russ Warren",influencedBy,"Pablo Picasso",4.650297619047619E-5,6.055430740169877E-5,7.5040090168172345E-6,0.002743675595238095
"Jean-Michel Basquiat",influencedBy,"Pablo Picasso",2.3251488095238094E-4,6.055430740169877E-5,3.481860183803197E-4,0.002743675595238095
"Federico Cantú Garza",influencedBy,"Pablo Picasso",9.300595238095238E-5,6.055430740169877E-5,1.0505612623544128E-4,0.002743675595238095
"Francis Picabia",influencedBy,"Pablo Picasso",1.3950892857142856E-4,6.055430740169877E-5,2.3412508132469772E-4,0.002743675595238095
"Vincent van Gogh",influencedBy,"Jean-François Millet",2.3251488095238094E-4,2.3251488095238094E-4,3.7520045084086172E-6,4.978909719695233E-4
"Vincent van Gogh",influenced,"Wassily Kandinsky",4.6948356807511736E-4,1.8779342723004695E-4,3.7520045084086172E-6,8.208472781119167E-4
"Vincent van Gogh",influenced,"Henri Matisse",4.6948356807511736E-4,2.8169014084507044E-4,3.7520045084086172E-6,0.002624019987406947
"Vincent van Gogh",influencedBy,"Rembrandt",2.3251488095238094E-4,0.0013485863095238095,3.7520045084086172E-6,0.002031933426145892
"Vincent van Gogh",influencedBy,"Eugène Delacroix",2.3251488095238094E-4,2.7901785714285713E-4,3.7520045084086172E-6,0.0010092384566949796
"Vincent van Gogh",influenced,"Emil Nolde",4.6948356807511736E-4,9.389671361502347E-5,3.7520045084086172E-6,1.7493466582712978E-4
"Vincent van Gogh",training,"Anton Mauve",2.0785699438786114E-4,2.0785699438786114E-4,3.7520045084086172E-6,7.849632440960952E-5
"Vincent van Gogh",influenced,"Émile Bernard",4.6948356807511736E-4,9.389671361502347E-5,3.7520045084086172E-6,1.1101623023644775E-4
"Vincent van Gogh",influenced,"Oskar Kokoschka",4.6948356807511736E-4,1.8779342723004695E-4,3.7520045084086172E-6,3.9023886992205876E-4
"Theo van Gogh (art dealer)",knownFor,"Vincent van Gogh",3.587443946188341E-5,7.345013212613463E-5,1.0455585896765347E-4,3.587443946188341E-5
"Victor Stabin",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.1005879891331944E-5,0.0011160714285714285
"Joan Mitchell",influencedBy,"Vincent van Gogh",3.255208333333333E-4,7.345013212613463E-5,1.4007483498058837E-4,0.0011160714285714285
"Dick Bruna",influencedBy,"Vincent van Gogh",2.7901785714285713E-4,7.345013212613463E-5,1.760940782613111E-4,0.0011160714285714285
"Roger Ing",influencedBy,"Vincent van Gogh",2.3251488095238094E-4,7.345013212613463E-5,1.7509354372573547E-5,0.0011160714285714285
"Hayley Lever",influencedBy,"Vincent van Gogh",4.650297619047619E-5,7.345013212613463E-5,2.9515768799481123E-5,0.0011160714285714285
"Annette P. Jimerson",influencedBy,"Vincent van Gogh",1.3950892857142856E-4,7.345013212613463E-5,1.2006414426907576E-5,0.0011160714285714285
