Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Pablo Picasso",deathPlace,"Mougins",5.1093529259986865E-6,1.532805877799606E-5,1.7509354372573548E-6,9.872554299048645E-5
"Pablo Picasso",birthPlace,"Málaga",8.901231930499181E-7,7.744071779534288E-5,1.7509354372573548E-6,0.0024897842820488453
"Pablo Picasso",deathPlace,"France",5.1093529259986865E-6,0.007988473299798947,1.7509354372573548E-6,0.7512243023218981
"Vincent van Gogh",deathPlace,"French Third Republic",5.1093529259986865E-6,1.353978525389652E-4,3.7520045084086172E-6,0.0016915328328423454
"Vincent van Gogh",birthPlace,"Zundert",1.7802463860998362E-6,3.5604927721996724E-6,3.7520045084086172E-6,8.711077322689981E-5
"Vincent van Gogh",birthPlace,"Netherlands",1.7802463860998362E-6,0.003351313821832942,3.7520045084086172E-6,0.1552092242389686
"Vincent van Gogh",deathPlace,"Auvers-sur-Oise",5.1093529259986865E-6,2.5546764629993433E-6,3.7520045084086172E-6,4.434730273369445E-5
"George Orwell",birthPlace,"Presidencies and provinces of British India",1.7802463860998362E-6,9.177170120344656E-4,1.1506147159119759E-5,0.0064852650807226495
"George Orwell",deathPlace,"University College Hospital",2.5546764629993433E-6,1.2773382314996718E-5,1.1506147159119759E-5,2.8508980328803573E-5
"George Orwell",restingPlace,"Sutton Courtenay",6.437906392841049E-5,6.437906392841049E-5,1.1506147159119759E-5,2.90369244089666E-5
"George Orwell",birthPlace,"Motihari",1.7802463860998362E-6,3.5604927721996724E-6,1.1506147159119759E-5,7.180039490217197E-5
"Bill Clinton",birthPlace,"Hope, Arkansas",8.901231930499181E-7,1.1571601509648935E-5,3.5018708745147096E-6,4.0651694172553246E-4
