Subject,Predicate,Object,sbjExtensionRarity,objExtensionRarity,subjectDegree,objectDegree
"Family of Saltimbanques",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,7.659167065581618E-6,5.24704853519895E-4
"The Old Guitarist",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,3.3189723950853675E-5,5.24704853519895E-4
"The Accordionist",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,3.404074251369608E-6,5.24704853519895E-4
"Portrait de Daniel Henry Kahnweiler",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,3.404074251369608E-6,5.24704853519895E-4
"Garçon à la pipe",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,6.893250359023456E-5,5.24704853519895E-4
"Sylvette",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,2.2977501196744853E-5,5.24704853519895E-4
"Massacre in Korea",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.702037125684804E-5,5.24704853519895E-4
"The Dream and Lie of Franco",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.25509281421201E-6,5.24704853519895E-4
"Jeune Fille Endormie",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.25509281421201E-6,5.24704853519895E-4
"Portrait of Angel Fernández de Soto",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,8.51018562842402E-6,5.24704853519895E-4
"Le pigeon aux petits pois",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,2.3828519759587257E-5,5.24704853519895E-4
"Friday 13th (album)",recordLabel,"Pablo Picasso",3.2314040773856646E-6,6.055430740169877E-5,1.4467315568320834E-5,3.2314040773856646E-6
"Portrait of Suzanne Bloch",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.8508058082016915E-5,5.24704853519895E-4
"Las Meninas (Picasso)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.4252965267804905E-5,5.24704853519895E-4
"Desire Caught by the Tail",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.5318334131163237E-5,5.24704853519895E-4
"Gravity's Angels",coverArtist,"Pablo Picasso",3.4518467380048324E-4,6.055430740169877E-5,1.6169352694005637E-5,6.903693476009665E-4
"Guernica (painting)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,5.003989149513324E-4,5.24704853519895E-4
"Boy Leading a Horse",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,5.957129939896814E-6,5.24704853519895E-4
"Woman in Hat and Fur Collar",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.702037125684804E-5,5.24704853519895E-4
"The Three Dancers",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.0848891016435295E-5,5.24704853519895E-4
"Prostitution in Spain",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,5.6167225147598535E-5,5.24704853519895E-4
"La Lecture",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.702037125684804E-6,5.24704853519895E-4
"Portrait of Daniel-Henry Kahnweiler",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,5.957129939896814E-6,5.24704853519895E-4
"Chicago Picasso",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.5318334131163237E-5,5.24704853519895E-4
"Nude in a Black Armchair",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,7.659167065581618E-6,5.24704853519895E-4
"The Weeping Woman",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.5318334131163237E-5,5.24704853519895E-4
"The Actor (painting)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.7871389819690442E-5,5.24704853519895E-4
"Reading the Letter (Picasso)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.3616297005478432E-5,5.24704853519895E-4
"Dora Maar au Chat",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,5.531620658475613E-5,5.24704853519895E-4
"Picasso's Rose Period",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.7871389819690442E-5,5.24704853519895E-4
"Portrait of Jamie Sabartes",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,3.404074251369608E-6,5.24704853519895E-4
"Two women running on the beach",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,3.404074251369608E-6,5.24704853519895E-4
"Don Quixote (Picasso)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.25509281421201E-6,5.24704853519895E-4
"Tete de femme (Dora Maar)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.25509281421201E-6,5.24704853519895E-4
"Nude, Green Leaves and Bust",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.0212222754108823E-4,5.24704853519895E-4
"Mantissa (novel)",coverArtist,"Pablo Picasso",3.4518467380048324E-4,6.055430740169877E-5,1.8722408382532843E-5,6.903693476009665E-4
"Les Demoiselles d'Avignon",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,1.7360778681985002E-4,5.24704853519895E-4
"Ma Jolie (Picasso, 1914)",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,7.659167065581618E-6,5.24704853519895E-4
"Femme aux Bras Croisés",author,"Pablo Picasso",1.4575134819997085E-5,6.055430740169877E-5,4.25509281421201E-6,5.24704853519895E-4
"Two Rats",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,4.25509281421201E-6,0.0014575134819997085
"Divisionism",author,"Vincent van Gogh",5.830053927998834E-5,7.345013212613463E-5,1.4041806286899634E-4,0.0014575134819997085
"The Church at Auvers",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,6.552842933886496E-5,0.0014575134819997085
"L'Arlésienne (painting)",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,3.829583532790809E-5,0.0014575134819997085
"Young Man with Cornflower",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,7.659167065581618E-6,0.0014575134819997085
"Landscape with Snow",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,1.1914259879793629E-5,0.0014575134819997085
"Almond Tree in Blossom (painting)",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,5.106111377054412E-6,0.0014575134819997085
"Wheat Fields (Van Gogh series)",author,"Vincent van Gogh",1.4575134819997085E-5,7.345013212613463E-5,5.957129939896814E-6,0.0014575134819997085
