2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,Rarity,Object Property 1,Object Property 2
84002,186302,155179,66688,60662,39579,56257,45209,48153,41250,42890,40026,503,7,3
5722,5474,5967,7074,6612,5850,5636,9288,7741,6190,6528,5324,129,19,3951
3740,3743,4608,4120,4077,2999,2885,3067,3978,3584,3416,3236,137,13,22
13931,20596,14130,12201,13480,10702,10083,11521,13946,11565,9970,8769,82,0,0
1826,1927,2048,2003,1867,1551,1419,1505,2163,2121,1648,1709,161,13,39
24783,24666,26751,24841,23403,20126,21919,21956,24602,21591,19852,19566,215,12,4
286,440,516,559,339,323,361,457,410,434,428,381,90,22,214
228,247,286,317,309,347,322,417,401,285,356,289,68,12,202
44924,48755,47068,42693,43630,30525,25145,24151,38062,39990,42659,34356,177,21,22
221234,207475,229649,208496,218617,171880,166513,156162,206525,205345,226476,182444,368,24,17729
57764,67264,78389,69234,66122,45733,35510,36692,60463,66143,59725,53211,140,0,0
465,403,498,476,505,461,464,451,410,415,410,315,48,0,0
56855,50172,50310,46573,45603,39891,40134,33345,39246,41771,42027,36651,235,0,0
67247,73129,96882,81081,78114,58482,54284,47404,71281,69139,73857,63578,132,0,0
275179,374809,317181,289976,301436,574263,656149,245450,272885,272785,272053,228350,651,23,43
247305,260731,279406,260682,300395,351134,231621,184260,257960,263021,260196,204021,466,6,3
307687,1059520,1985520,510508,414239,210568,403473,260532,265414,179308,191915,167231,518,12,7
13059,11992,16727,13592,12914,10737,12868,11655,11285,10741,11089,11983,291,3,7
72984,91246,132044,80043,74664,56303,61548,58882,72574,67554,74276,67259,275,17,26
28723,28059,37855,28645,28062,24829,25939,26494,27798,25953,25506,23050,389,37,2994
45299,52314,58957,56299,51586,41758,32974,31354,43987,43197,45580,37810,120,0,0
21197,23514,27183,25737,26154,19584,14691,14203,24463,25724,23363,20133,119,0,0
1448,1313,1537,1402,1441,1132,1000,915,1189,1364,1251,917,119,8,3
1298,9424,6168,2694,2328,2099,2685,2057,1536,1113,997,772,147,10,109
83646,91179,105269,98646,95397,66464,52277,51279,76186,77468,74912,64916,146,0,0
98021,100270,110070,107534,106329,95690,82304,90608,96628,96045,113286,81637,503,3,3
6938,7548,6455,4645,4848,5311,2713,2992,7435,7947,5565,4002,164,30,60
2720,2109,1942,2117,2174,2506,2098,2199,2358,2160,2384,2421,101,18,1664
203,183,229,180,213,260,261,258,250,249,206,153,92,19,10150
20246,21323,23264,20559,19920,12592,9527,10534,16847,18326,17663,13482,207,5,6846
26330,30255,24971,24460,24587,20697,21020,18296,19632,22918,21174,18383,472,38,41615
90328,88134,101123,87564,94013,71735,71374,66549,77241,81548,79611,65851,353,19,33638
378,509,622,468,386,350,361,315,392,335,376,335,95,5,2
3428,3590,3695,3622,3502,3008,2829,2511,3232,3154,2982,2382,168,18,30
198296,244201,242289,209166,215679,186463,178444,146713,184998,189277,196812,158067,482,21,60734
36039,37382,38552,36228,34828,33281,36147,32215,79105,40292,35726,33411,411,9,15
447,467,657,526,622,549,730,880,819,533,370,356,95,11,160
2732,2536,2639,2250,2211,1735,1852,1607,2846,2438,2233,1783,165,18,32
434016,456950,501312,429047,463884,408640,398097,390467,877384,517854,450588,399490,530,11,1546
64260,56696,73267,70000,59956,67924,57879,50946,184764,100343,103264,45900,315,20,19
2227,2149,2465,2600,2304,1872,1890,1868,2017,2104,2125,2067,70,0,0
29741,43382,37159,33590,32885,19531,15990,16618,27058,30191,25994,24280,161,71,25
24230,23905,26535,26928,42395,301422,36426,14223,14463,13962,12241,12024,374,14,94
129313,132438,148775,148196,142918,129028,146108,118516,170997,122505,106643,87753,445,20,5
20335,20563,24132,21860,22274,19871,19317,17325,21676,22513,22225,20538,196,12,27432
257228,253975,276813,259984,278188,326557,265170,218005,1094764,250107,288120,211318,402,24,44
6988,6951,8856,7987,7814,6344,5678,6089,7110,7288,7857,6809,158,9,425
0,1,1,0,1,0,0,0,0,4,1,1,0,0,0
30522,33806,39945,42051,40368,26866,22654,22130,29329,31940,33228,31371,139,0,0
183086,171441,285877,180565,179451,167099,165315,160652,172204,170368,207906,146803,458,36,123
296,534,371,397,393,333,303,325,432,385,359,326,120,2,3
42890,45384,51361,50514,44084,33119,28469,29198,38791,44579,39145,36186,286,9,12
18140,20109,22400,19896,19575,13752,13044,12058,17785,17650,17830,13284,189,26,18111
1540200,1265108,1221764,1038576,1053350,907729,825381,754568,926037,1030023,1088943,961186,562,24,17729
38653,77218,40513,35348,33576,23523,24555,22800,31737,67123,28031,25123,251,16,92
26447,28719,34454,28713,30618,28068,28012,34352,30560,30885,35150,27000,181,45,170
3168,3315,3543,3285,3099,2198,2082,1894,2836,2924,2727,2389,112,5,6846
206984,213328,230391,212432,221505,171541,115945,122656,184729,276069,170742,140727,368,1,3
168181,167972,150184,133210,134702,125764,133369,127965,156780,126286,115972,108799,347,2,4
48702,48357,50747,42782,51694,50769,43238,39724,45919,46562,43704,38388,186,0,0
351,336,363,422,413,429,456,434,611,388,431,344,45,0,0
6813,7761,8624,8403,8647,8200,7074,6586,8250,8456,7881,7007,140,12,27432
43950,40259,42253,35759,35554,37095,35810,33390,41864,40978,40522,41382,174,0,0
318,337,325,312,248,223,216,234,287,264,302,263,84,68,217988
452,341,409,340,420,388,372,338,498,403,450,377,50,0,0
182319,182878,220736,183616,194579,164306,171481,154011,164999,174792,194311,159444,463,19,33
38325,40095,41399,36981,35897,28324,27764,26069,68856,36298,33392,39723,116,0,0
207571,202657,234852,200136,210089,150110,132063,123203,177941,182797,184893,276666,482,6,90
5521,6961,6220,6357,5305,4058,3637,3742,6214,6481,5078,5214,141,20,174
5430,5896,6296,7576,5759,5495,6626,6786,6250,5437,4893,5551,95,22,3
6702,7075,7743,7478,6940,5616,5830,6974,7455,7438,6847,5645,30,0,0
718,572,642,654,699,657,957,683,709,621,627,537,138,42,10
619,843,1145,859,768,682,785,686,665,758,812,585,145,41,4669
19201,21142,19751,18985,17622,13183,11317,13853,19809,20547,21918,16336,214,15,880
6624,7163,7742,7657,6635,4894,4667,5379,6154,5913,9218,6199,159,34,4452
127,124,165,139,136,140,172,123,129,142,164,148,92,5,6846
208,178,265,280,312,342,276,281,372,282,287,254,89,12,202
9959,9961,11828,10284,9621,7545,6941,8021,10584,10679,9598,8130,72,0,0
144,146,203,227,289,264,245,236,255,253,234,182,34,0,0
86097,96468,106856,101629,100200,72177,57412,55181,76112,79956,85939,79838,144,0,0
2800,2989,3470,4059,3485,2754,2871,2730,3309,3117,2996,2917,86,12,7
