obj,type
Venice Biennale,http://dbpedia.org/ontology/Convention
Chur,http://dbpedia.org/ontology/Settlement
Switzerland,http://dbpedia.org/ontology/Country
Geneva,http://dbpedia.org/ontology/Settlement
Dr. Seuss,http://dbpedia.org/ontology/Writer
Carnegie Institute of Technology,http://dbpedia.org/ontology/University
Leonardo da Vinci,http://dbpedia.org/ontology/Person
Vincent van Gogh,http://dbpedia.org/ontology/Artist
Philip Guston,http://dbpedia.org/ontology/Artist
Pablo Picasso,http://dbpedia.org/ontology/Artist
Hidalgo (state),http://dbpedia.org/ontology/Settlement
Georges Braque,http://dbpedia.org/ontology/Artist
Pre-Columbian era,http://dbpedia.org/ontology/Person
Harvard University,http://dbpedia.org/ontology/University
Don DeLillo,http://dbpedia.org/ontology/Writer
Gerrit Rietveld,http://dbpedia.org/ontology/Person
Ezra Pound,http://dbpedia.org/ontology/Person
Fyodor Dostoyevsky,http://dbpedia.org/ontology/Writer
John Dos Passos,http://dbpedia.org/ontology/Writer
William Gaddis,http://dbpedia.org/ontology/Writer
David Mitchell (author),http://dbpedia.org/ontology/Writer
Rachel Kushner,http://dbpedia.org/ontology/Writer
Giotto,http://dbpedia.org/ontology/Artist
Simone Martini,http://dbpedia.org/ontology/Artist
Gilbert Brown Wilson,http://dbpedia.org/ontology/Artist
Thomas Bernhard,http://dbpedia.org/ontology/Writer
Eugene Savage,http://dbpedia.org/ontology/Artist
Duccio,http://dbpedia.org/ontology/Artist
Jean-Paul Sartre,http://dbpedia.org/ontology/Philosopher
Nord-Pas-de-Calais,http://dbpedia.org/ontology/AdministrativeRegion
Nice,http://dbpedia.org/ontology/Settlement
Karl Marx,http://dbpedia.org/ontology/Philosopher
Mao Zedong,http://dbpedia.org/ontology/OfficeHolder
Sigmund Freud,http://dbpedia.org/ontology/Scientist
Che Guevara,http://dbpedia.org/ontology/Person
Sherwood Anderson,http://dbpedia.org/ontology/Writer
Ernest Hemingway,http://dbpedia.org/ontology/Writer
J. D. Salinger,http://dbpedia.org/ontology/Writer
Sylvia Plath,http://dbpedia.org/ontology/Writer
Alberto Giacometti,http://dbpedia.org/ontology/Artist
Carla Harryman,http://dbpedia.org/ontology/Person
Language poets,http://dbpedia.org/ontology/Person
Jacques Lipchitz,http://dbpedia.org/ontology/Artist
France,http://dbpedia.org/ontology/Country
August Strindberg,http://dbpedia.org/ontology/Writer
Olga Khokhlova,http://dbpedia.org/ontology/Person
Jonathan Swift,http://dbpedia.org/ontology/Writer
Paul Laurence Dunbar,http://dbpedia.org/ontology/Person
San Francisco Art Institute,http://dbpedia.org/ontology/University
University of Southern California,http://dbpedia.org/ontology/University
Diego Rivera,http://dbpedia.org/ontology/Artist
Henri Matisse,http://dbpedia.org/ontology/Artist
Rufino Tamayo,http://dbpedia.org/ontology/Artist
United States,http://dbpedia.org/ontology/Country
Guangzhou,http://dbpedia.org/ontology/City
Robert Motherwell,http://dbpedia.org/ontology/Artist
Van Gogh Museum,http://dbpedia.org/ontology/Museum
Extinction (Bernhard novel),http://dbpedia.org/ontology/Book
Hermitage Museum,http://dbpedia.org/ontology/Museum
