sub,type
Alberto Giacometti,http://dbpedia.org/ontology/Artist
And to Think That I Saw It on Mulberry Street,http://dbpedia.org/ontology/Book
Andy Warhol,http://dbpedia.org/ontology/Artist
Annunciation (Leonardo),http://dbpedia.org/ontology/Artwork
Anton Mauve,http://dbpedia.org/ontology/Artist
Ben Aronson,http://dbpedia.org/ontology/Artist
Ben Shahn,http://dbpedia.org/ontology/Artist
Benois Madonna,http://dbpedia.org/ontology/Artwork
Byron Galvez,http://dbpedia.org/ontology/Artist
Charles A. Murphy,http://dbpedia.org/ontology/OfficeHolder
Daisy-Head Mayzie,http://dbpedia.org/ontology/Book
David Foster Wallace,http://dbpedia.org/ontology/Writer
Dick Bruna,http://dbpedia.org/ontology/Artist
Don DeLillo,http://dbpedia.org/ontology/Writer
Donald Baechler,http://dbpedia.org/ontology/Artist
Dorothy Annan,http://dbpedia.org/ontology/Artist
Dr. Seuss on the Loose,http://dbpedia.org/ontology/TelevisionShow
Duccio,http://dbpedia.org/ontology/Artist
Eugene Savage,http://dbpedia.org/ontology/Artist
Extinction (Bernhard novel),http://dbpedia.org/ontology/Book
Gertrude Stein,http://dbpedia.org/ontology/Writer
Gilbert Brown Wilson,http://dbpedia.org/ontology/Artist
Green Eggs and Ham,http://dbpedia.org/ontology/Book
Gualino Madonna,http://dbpedia.org/ontology/Artwork
H. M. Naqvi,http://dbpedia.org/ontology/Writer
Hazel Barnes,http://dbpedia.org/ontology/Writer
Henri Matisse,http://dbpedia.org/ontology/Artist
Jack Prelutsky,http://dbpedia.org/ontology/Writer
Jackson Pollock,http://dbpedia.org/ontology/Artist
James Kelsey (sculptor),http://dbpedia.org/ontology/Artist
Jean-Paul Sartre,http://dbpedia.org/ontology/Philosopher
Jeff Gabel,http://dbpedia.org/ontology/Artist
John Fante,http://dbpedia.org/ontology/Writer
K. J. Stevens,http://dbpedia.org/ontology/Writer
Kurt Oscar Weber,http://dbpedia.org/ontology/Artist
Leslie Scalapino,http://dbpedia.org/ontology/Writer
Lewis Gordon,http://dbpedia.org/ontology/Philosopher
Madonna and Child (Duccio),http://dbpedia.org/ontology/Artwork
Marcel Mouly,http://dbpedia.org/ontology/Artist
Meadows near Rijswijk and the Schenkweg,http://dbpedia.org/ontology/Artwork
Mike Lawrence (comedian),http://dbpedia.org/ontology/Comedian
Mona Lisa,http://dbpedia.org/ontology/Artwork
Noah Cicero,http://dbpedia.org/ontology/Writer
Noel Rockmore,http://dbpedia.org/ontology/Artist
Norman Mailer,http://dbpedia.org/ontology/Writer
Olga Khokhlova,http://dbpedia.org/ontology/Person
Otto Weininger,http://dbpedia.org/ontology/Philosopher
Pablo Picasso,http://dbpedia.org/ontology/Artist
Paloma Picasso,http://dbpedia.org/ontology/Person
Paul Fericano,http://dbpedia.org/ontology/Writer
Paul Gauguin,http://dbpedia.org/ontology/Artist
Paul McCarthy,http://dbpedia.org/ontology/Artist
Paul Rosenberg (art dealer),http://dbpedia.org/ontology/Person
Philip Southern,http://dbpedia.org/ontology/Artist
Piano Lesson (painting),http://dbpedia.org/ontology/Artwork
Portrait of a Musician,http://dbpedia.org/ontology/Artwork
Private Snafu,http://dbpedia.org/ontology/Film
R. C. Gorman,http://dbpedia.org/ontology/Artist
Road with Cypress and Star,http://dbpedia.org/ontology/Artwork
Robert Ryman,http://dbpedia.org/ontology/Artist
Roger Ing,http://dbpedia.org/ontology/Artist
Rosemarie Beck,http://dbpedia.org/ontology/Artist
Scrambled Eggs Super!,http://dbpedia.org/ontology/Book
Seyhan Kurt,http://dbpedia.org/ontology/Writer
Spies (1943 film),http://dbpedia.org/ontology/Film
Still Life: Vase with Pink Roses (Van Gogh),http://dbpedia.org/ontology/Artwork
Susan McClary,http://dbpedia.org/ontology/Writer
The Age of Reason (novel),http://dbpedia.org/ontology/Book
The Bippolo Seed and Other Lost Stories,http://dbpedia.org/ontology/Book
The Hoober-Bloob Highway,http://dbpedia.org/ontology/TelevisionShow
The Lorax (TV special),http://dbpedia.org/ontology/TelevisionShow
The Palace at 4 a.m.,http://dbpedia.org/ontology/Artwork
The Plum Blossoms,http://dbpedia.org/ontology/Artwork
The Potato Eaters,http://dbpedia.org/ontology/Artwork
The Proud and the Beautiful,http://dbpedia.org/ontology/Film
The Snail,http://dbpedia.org/ontology/Artwork
Thomas Bernhard,http://dbpedia.org/ontology/Writer
Thomas Ligotti,http://dbpedia.org/ontology/Writer
Vincent van Gogh,http://dbpedia.org/ontology/Artist
Vladimir Nabokov,http://dbpedia.org/ontology/Writer
White House at Night,http://dbpedia.org/ontology/Artwork
Yertle the Turtle and Other Stories,http://dbpedia.org/ontology/Book
