Gertrude Stein,5
Extinction (Bernhard novel),19
Donald Baechler,24
Byron Galvez,21
The Plum Blossoms,15
The Bippolo Seed and Other Lost Stories,9
Thomas Ligotti,15
Vladimir Nabokov,29
Benois Madonna,15
Ben Aronson,20
Yertle the Turtle and Other Stories,6
Portrait of a Musician,19
Jean-Paul Sartre,22
Don DeLillo,24
Noah Cicero,24
Ahmed Benyahia,17
Gualino Madonna,5
David Foster Wallace,13
Paul McCarthy,27
Dick Bruna,21
The Palace at 4 a.m.,15
Charles A. Murphy,7
Vincent van Gogh,6
R. C. Gorman,13
Philip Southern,7
Noel Rockmore,24
Green Eggs and Ham,10
Private Snafu,20
Ben Shahn,24
Roger Ing,21
Rosemarie Beck,24
Jack Prelutsky,34
Olga Khokhlova,21
Piano Lesson (painting),15
Jeff Gabel,49
Scrambled Eggs Super!,10
The Potato Eaters,21
Pontoffel Pock,16
Eugene Savage,11
The Lorax (TV special),2
Alberto Giacometti,20
Road with Cypress and Star,21
Duccio,5
Annunciation (Leonardo),19
The Snail,35
Spies (1943 film),20
And to Think That I Saw It on Mulberry Street,7
Mona Lisa,17
James Kelsey (sculptor),22
The Age of Reason (novel),3
Paul Rosenberg (art dealer),26
Meadows near Rijswijk and the Schenkweg,21
The Hoober-Bloob Highway,2
Mike Lawrence (comedian),30
Madonna and Child (Duccio),20
Daisy-Head Mayzie,8
Otto Weininger,38
H. M. Naqvi,40
Kurt Oscar Weber,70
Ralf Metzenmacher,18
Norman Mailer,26
Paul Fericano,22
Hazel Barnes,70
Dr. Seuss on the Loose,16
Seyhan Kurt,42
John Fante,38
Dorothy Annan,15
K. J. Stevens,44
Lewis Gordon,53
Still Life: Vase with Pink Roses (Van Gogh),21
Paul Gauguin,21
The Devil Is a Woman (1950 film),6
Robert Ryman,19
Anton Mauve,21
The Proud and the Beautiful,70
Andy Warhol,9
Marcel Mouly,12
Leslie Scalapino,23
The Wheat Field,21
Pablo Picasso,1
White House at Night,15
Paloma Picasso,5
Henri Matisse,19
Thomas Bernhard,22
Susan McClary,3
Gilbert Brown Wilson,30
Jackson Pollock,24
Gargoyles (novel),49
